Name;Organisation;Country;Pays;URL;Description;Location;Latitude;Longitude;Code En;Code Fr;Country Slug;Column 1;Column 9;Thematic;Portal typology;Column 14;Column 15;Column 16;Column 17;Code Es
Franklin County,Ohio;Franklin County,Ohio;United States;Etats-Unis;http://data.fca.opendata.arcgis.com;Arcgis OpenData Portal;39.9645334761,-83.0080856934;39.96453348;-83.00808569;United States - Franklin County,Ohio;Etats-Unis - Franklin County,Ohio;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Franklin County,Ohio
Geo Serbia;Serbia;Serbia;Serbie;http://geosrbija.rs;;44.8,20.4667;44.8;20.4667;Serbia - Geo Serbia;Serbie - Geo Serbia;serbia;;;Geospatial;Public Sector, National Level;;;;;Serbia - Geo Serbia
Hamilton, On Open Data;Canada;Canada;Canada;http://hamilton.ca/projectsinitiatives/opendata;;43.25,-79.8667;43.25;-79.8667;Canada - Hamilton, On Open Data;Canada - Hamilton, On Open Data;canada;;;Local Government;Public Sector, Local Level;;;;;Canadá - Hamilton, On Open Data
Institut D'estudis Andorrans;Andorra;Andorra;Andorre;http://iea.ad;;42.5,1.5;42.5;01/05/2016;Andorra - Institut D'estudis Andorrans;Andorre - Institut D'estudis Andorrans;andorra;;;Statistics;Public Sector, National Level;;;;;Andorra - Institut D'estudis Andorrans
Institut Haitien De Statistique Et D'informatique;Haiti;Haiti;Haïti;http://ihsi.ht;;18.5333,-72.3333;18.5333;-72.3333;Haiti - Institut Haitien De Statistique Et D'informatique;Haïti - Institut Haitien De Statistique Et D'informatique;haiti;;;Statistics;Public Sector, National Level;;;;;Haití - Institut Haitien De Statistique Et D'informatique
Instituto Brasileiro De Geografia E Estatística (ibge);Brazil;Brazil;Brésil;http://ibge.gov.br;;-15.7833,-47.8667;-15.7833;-47.8667;Brazil - Instituto Brasileiro De Geografia E Estatística (ibge);Brésil - Instituto Brasileiro De Geografia E Estatística (ibge);brazil;;;Statistics,Geospatial;Public Sector, National Level;;;;;Brasil - Instituto Brasileiro De Geografia E Estatística (ibge)
Instituto Nacional De Información De Desarrollo;Nicaragua;Nicaragua;Nicaragua;http://www.inide.gob.ni;;13.0,-85.0;13;-85;Nicaragua - Instituto Nacional De Información De Desarrollo;Nicaragua - Instituto Nacional De Información De Desarrollo;nicaragua;;;Statistics;Public Sector, National Level;;;;;Nicaragua - Instituto Nacional De Información De Desarrollo
Italian Chamber Of Deputies;Italian Chamber Of Deputies;Italy;Italie;http://dati.camera.it/it;The history, activities, mechanisms of functioning of the Chamber of Deputies. Available free to reuse.;42.8333333,12.8333333;42.8333333;12.8333333;Italy - Italian Chamber Of Deputies;Italie - Italian Chamber Of Deputies;italy;;;Administration;Public Sector, National Level;;;;;Italia - Italian Chamber Of Deputies
Kent GIS Open Data Geo Portal;Kent GIS Open Data Geo Portal;United Kingdom;Royaume-Uni;http://data.kentcounty.opendata.arcgis.com;Arcgis OpenData Portal;51.2014515928,0.749876953125;51.20145159;0.7498769531;United Kingdom - Kent GIS Open Data Geo Portal;Royaume-Uni - Kent GIS Open Data Geo Portal;united-kingdom;;;Local Government;Public Sector, Local Level;;;;;Reino Unido - Kent GIS Open Data Geo Portal
Latvia Open Data;Latvia;Latvia;Lettonie;http://opendata.lv;;57.0,25.0;57;25;Latvia - Latvia Open Data;Lettonie - Latvia Open Data;latvia;;;Local Government;Public Sector, Local Level;;;;;Letonia - Latvia Open Data
Lincolnshire County Council Open Data;Lincolnshire County Council;United Kingdom;Royaume-Uni;https://lincolnshire.ckan.io;"Lincolnshire Open Data has been created to support and facilitate Lincolnshire County Council's commitment to freeing up Lincolnshire's data.

You are able to search for, preview and download a wide range of data across a number of different themes.";53.231282,-0.5479349;53.231282;-0.5479349;United Kingdom - Lincolnshire County Council Open Data;Royaume-Uni - Lincolnshire County Council Open Data;united-kingdom;;;Local Government;Public Sector, Local Level;;;;;Lincolnshire County Council Open Data
Los Angeles Open Data;Los Angeles;United States;Etats-Unis;https://data.lacity.org;Information, Insights, and Analysis from the City of Los Angeles;34.0207504,-118.6919198;34.0207504;-118.6919198;United States - Los Angeles Open Data;Etats-Unis - Los Angeles Open Data;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Los Angeles Open Data
Maine Open Data;United States;United States;Etats-Unis;http://www.maine.gov/data;;44.31056,-69.78;44.31056;-69.78;United States - Maine Open Data;Etats-Unis - Maine Open Data;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Maine Open Data
Ministry Of National Planning;Maldives;Maldives;Maldives;http://planning.gov.mv;;3.2,73.22;03/02/2016;73.22;Maldives - Ministry Of National Planning;Maldives - Ministry Of National Planning;maldives;;;Administration,Economy;Public Sector, National Level;;;;;Islas Maldivas - Ministry Of National Planning
Missouri Department Of Natural Resources;United States;United States;Etats-Unis;http://dnr.mo.gov;;38.5791,-92.173;38.5791;-92173;United States - Missouri Department Of Natural Resources;Etats-Unis - Missouri Department Of Natural Resources;united-states;;;Environment;Public Sector, Local Level;;;;;Estados Unidos de América - Missouri Department Of Natural Resources
Montgomery County, Md Open Data;United States;United States;Etats-Unis;http://data.montgomerycountymd.gov;;39.14,-77.2;39.14;-77.2;United States - Montgomery County, Md Open Data;Etats-Unis - Montgomery County, Md Open Data;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Montgomery County, Md Open Data
National Land Registry;Jamaica;Jamaica;Jamaïque;http://nla.gov.jm;;18.1824,-77.3218;18.1824;-77.3218;Jamaica - National Land Registry;Jamaïque - National Land Registry;jamaica;;;Geospatial;Public Sector, National Level;;;;;Jamaica - National Land Registry
Nelson City Council Open Data;Nelson City Council Open Data;New Zealand;Nouvelle-Zélande;http://data.nelsoncity.opendata.arcgis.com;Arcgis OpenData Portal;-41.2299527571,173.402733032;-41.22995276;173.402733;New Zealand - Nelson City Council Open Data;Nouvelle-Zélande - Nelson City Council Open Data;new-zealand;;;Local Government;Public Sector, Local Level;;;;;Nueva Zelanda - Nelson City Council Open Data
Noaa National Climate Data Center;United States;United States;Etats-Unis;http://www.nodc.noaa.gov/access/index.html;;38.8951,-77.0367;38.8951;-77.0367;United States - Noaa National Climate Data Center;Etats-Unis - Noaa National Climate Data Center;united-states;;;Environment;Public Sector, National Level;;;;;Estados Unidos de América - Noaa National Climate Data Center
North Dakota Gis Hub;State Of North Dakota;United States;Etats-Unis;http://www.nd.gov/gis;;47.500274,-100.0006798;47.500274;-100.0006798;United States - North Dakota Gis Hub;Etats-Unis - North Dakota Gis Hub;united-states;;;Local Government,Geospatial;Public Sector, Local Level;;;;;Estados Unidos de América - North Dakota Gis Hub
Nstituto De Meteorología;Cuba;Cuba;Cuba;http://www.insmet.cu/asp/genesis.asp?TB0=PLANTILLAS&TB1=INICIAL;;22.0,-79.5;22;-79.5;Cuba - Nstituto De Meteorología;Cuba - Nstituto De Meteorología;cuba;;;Weather Forecast;Public Sector, National Level;;;;;Cuba - Nstituto De Meteorología
Nyc Department Of Planning - Bytes Of The Big Apple;United States;United States;Etats-Unis;http://nyc.gov/html/dcp/html/bytes/applbyte.shtml;;42.6525,-73.75722;42.6525;-73.75722;United States - Nyc Department Of Planning - Bytes Of The Big Apple;Etats-Unis - Nyc Department Of Planning - Bytes Of The Big Apple;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Nyc Department Of Planning - Bytes Of The Big Apple
ODLAA-åbendatatil Labview;ODLAA-åbendatatil Labview;Denmark;Danemark;http://odlaa.aakmef.opendata.arcgis.com;Arcgis OpenData Portal;57.019228,9.3298407;57.019228;9.3298407;Denmark - ODLAA-åbendatatil Labview;Danemark - ODLAA-åbendatatil Labview;denmark;;;Other;Public Sector, Local Level;;;;;Francia - ODLAA-åbendatatil Labview
Office Of Statistics, Budget And Economic Management;Micronesia, Federated States Of;Micronesia;Micronésie;http://sboc.fm;;6.9167,158.1833;01/06/9167;158.1833;Micronesia - Office Of Statistics, Budget And Economic Management;Micronésie - Office Of Statistics, Budget And Economic Management;micronesia;;;Statistics,Economy,Administration;Public Sector, National Level;;;;;Office Of Statistics, Budget And Economic Management
Oklahoma Geological Survey;United States;United States;Etats-Unis;http://ogs.ou.edu;;35.2086,-97.4458;35.2086;-97.4458;United States - Oklahoma Geological Survey;Etats-Unis - Oklahoma Geological Survey;united-states;;;Environment;Public Sector, Local Level;;;;;Estados Unidos de América - Oklahoma Geological Survey
Open Hampton Roads;United States;United States;Etats-Unis;http://datahub.io/organization/open-hampton-roads;;36.9667,-76.3667;36.9667;-76.3667;United States - Open Hampton Roads;Etats-Unis - Open Hampton Roads;united-states;;;Geospatial;Public Sector, Local Level;;;;;Estados Unidos de América - Open Hampton Roads
Otevřená data města Plzně;Plzeň;Czech Republic;République tchèque;https://opendata.plzen.eu;environment,transportation,services,maps;49.7470717,13.3774131;49.7470717;13.3774131;Czech Republic - Otevřená data města Plzně;République tchèque - Otevřená data města Plzně;czech-republic;;;Local Government;Public Sector, Local Level;;;;;Otevřená data města Plzně
Portal da Transparência do Estado de Santa Catarina;Centro de Informática e Automação do Estado de Santa Catarina (CIASC);Brazil;Brésil;http://transparencia.sc.gov.br;Finance;-27.5867699,-48.5011043;-27.5867699;-48.5011043;Brazil - Portal da Transparência do Estado de Santa Catarina;Brésil - Portal da Transparência do Estado de Santa Catarina;brazil;;;Local Government;Public Sector, Local Level;;;;;Portal da Transparência do Estado de Santa Catarina
Portal de Datos Abiertos de la Universidad Pablo de Olavide;Universidad Pablo de Olavide;Spain;Espagne;https://datos.upo.gob.es;OGoov;37.3547072,-5.9397657;37.3547072;-5.9397657;Spain - Portal de Datos Abiertos de la Universidad Pablo de Olavide;Espagne - Portal de Datos Abiertos de la Universidad Pablo de Olavide;spain;;;Statistics;Others (Associations, Universities);;;;;España - Portal de Datos Abiertos de la Universidad Pablo de Olavide
Portal de datos abiertos de Perú;Oficina Nacional de Gobierno Electrónico ONGEI;Peru;Pérou;http://www.datosabiertos.gob.pe;Es la información producida por las Entidades públicas que se pone a disposición de la ciudadanía desde internet, de forma gratuita, sin limitaciones para ser utilizados, reutilizados y redistribuidos. Para lo cual se ha establecido un Modelo de Datos Abiertos Gubernamentales.;-12.143683,-76.995795;-12.143683;-77.0316381;Peru - Portal de datos abiertos de Perú;Pérou - Portal de datos abiertos de Perú;peru;;;Statistics;Public Sector, National Level;;;;;Perú - Portal de datos abiertos de Perú
Royal Netherlands Meteorological Institute;Netherlands;Netherlands;Pays-Bas;http://knmi.nl;;52.3167,5.55;52.3167;5.55;Netherlands - Royal Netherlands Meteorological Institute;Pays-Bas - Royal Netherlands Meteorological Institute;netherlands;;;Weather Forecast;Public Sector, National Level;;;;;Países Bajos - Royal Netherlands Meteorological Institute
Sarlat-La Canéda;Sarlat-La Canéda;France;France;http://www.data.gouv.fr/fr/organization/sarlat-la-caneda;;44.9061152,1.1293647;44.9061152;1.1293647;France - Sarlat-La Canéda;France - Sarlat-La Canéda;france;;;Local Government;Public Sector, Local Level;;;;;Francia - Sarlat-La Canéda
Saskatoon, Sk Open Data;Canada;Canada;Canada;http://opendata-saskatoon.cloudapp.net;;52.1333,-106.6833;52.1333;-106.6833;Canada - Saskatoon, Sk Open Data;Canada - Saskatoon, Sk Open Data;canada;;;Local Government;Public Sector, Local Level;;;;;Canadá - Saskatoon, Sk Open Data
Servicio Geológico Colombiana;Colombia;Colombia;Colombie;http://www2.sgc.gov.co;;4.6413658,-74.1032593;4.6413658;-74.1032593;Colombia - Servicio Geológico Colombiana;Colombie - Servicio Geológico Colombiana;colombia;;;Environment;Public Sector, National Level;;;;;Colombia - Servicio Geológico Colombiana
Søfartsstyrelsen Open Data;Søfartsstyrelsen Open Data;Denmark;Danemark;http://data.sofartdk.opendata.arcgis.com;Arcgis OpenData Portal;56.2625668434,9.64686047874;56.26256684;9.646860479;Denmark - Søfartsstyrelsen Open Data;Danemark - Søfartsstyrelsen Open Data;denmark;;;Local Government;Public Sector, Local Level;;;;;Dinamarca - Søfartsstyrelsen Open Data
St. Croix County,WI;St. Croix County,WI;United States;Etats-Unis;http://sccgis.scccdd.opendata.arcgis.com;Arcgis OpenData Portal;45.0203728753,-92.4246;45.02037288;-92.4246;United States - St. Croix County,WI;Etats-Unis - St. Croix County,WI;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - St. Croix County,WI
State Statistical Committee;Tajikistan;Tajikistan;Tadjikistan;http://stat.tj;;38.55,68.8;38.55;68.8;Tajikistan - State Statistical Committee;Tadjikistan - State Statistical Committee;tajikistan;;;Statistics;Public Sector, National Level;;;;;Tadjikistán - State Statistical Committee
Transparency Data;Timor-leste;East Timor;Timor Oriental;http://transparency.gov.tl;;-8.5667,125.5667;-8.5667;125.5667;East Timor - Transparency Data;Timor Oriental - Transparency Data;east-timor;;;Statistics,Administration,Economy;Public Sector, National Level;;;;;Timor Oriental - Transparency Data
Territoires du Nord-Ouest;Territoires du Nord-Ouest;Canada;Canada;http://www.nwtgeoscience.ca/our-data-and-searching-tools;;68.4608542,-136.8168073;68.4608542;-136.8168073;Canada - Territoires du Nord-Ouest;Canada - Territoires du Nord-Ouest;canada;;;Local Government;Public Sector, Local Level;;;;;Canadá - Territoires du Nord-Ouest
Waterschap Rijnen I Jssel;Waterschap Rijnen I Jssel;Netherlands;Pays-Bas;http://opendata.wrij.opendata.arcgis.com;Arcgis OpenData Portal;52.0637222651,6.3435;52.06372227;01/06/3435;Netherlands - Waterschap Rijnen I Jssel;Pays-Bas - Waterschap Rijnen I Jssel;netherlands;;;Environment;Public Sector, Local Level;;;;;Países Bajos - Waterschap Rijnen I Jssel
UTCGEODATAPortal;UTCGEODATAPortal;United States;Etats-Unis;http://geodata.utc.edu;Arcgis OpenData Portal;35.0188948523,-85.2595670893;35.01889485;-85.25956709;United States - UTCGEODATAPortal;Etats-Unis - UTCGEODATAPortal;united-states;;;Geospatial;Others (Associations, Universities);;;;;Estados Unidos de América - UTCGEODATAPortal
Virginia Beach Open Data;United States;United States;Etats-Unis;http://gis.data.vbgov.com;;36.8506,-75.9779;36.8506;-75.9779;United States - Virginia Beach Open Data;Etats-Unis - Virginia Beach Open Data;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Virginia Beach Open Data
Chapel Hill Open Data;Chapel Hill Public Library / Town of Chapel Hills;United States;Etats-Unis;https://www.chapelhillopendata.org/page/home1;Public access to local Government information;35.908808,-79.052893;35.908808;-79.052893;United States - Chapel Hill Open Data;Etats-Unis - Chapel Hill Open Data;united-states;2019-11-22T16:57:38-05:00;phillipcarew@outlook.com;Administration,Economy,Environment,Geospatial,Local Government;;;;;;pais - Chapel Hill Open Data
Datos Abiertos CLM;Junta de Castilla La Mancha;Spain;Espagne;http://datosabiertos.castillalamancha.es;Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Hacienda, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda;39.8560883,-4.0278854;39.8560883;-4.0278854;Spain - Datos Abiertos CLM;Espagne - Datos Abiertos CLM;spain;;;Local Government;Public Sector, Local Level;;;;;España - Datos Abiertos CLM
Open Data Sant Boi;Ayuntamiento de Sant Boi de Llobregat;Spain;Espagne;http://observatori.santboi.cat;Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Empleo, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras;41.3474347,2.0432998;41.3474347;2.0432998;Spain - Open Data Sant Boi;Espagne - Open Data Sant Boi;spain;;;Local Government;Public Sector, Local Level;;;;;España - Open Data Sant Boi
Portal de dades obertes Sant Feliu de Llobregat;Ayuntamiento de Sant Feliu de Llobregat;Spain;Espagne;http://opendata.santfeliu.cat/santfeliu/es;Cultura y Ocio, Demografía, Economía, Medio Ambiente, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras;41.3826481,2.0451418;41.3826481;2.0451418;Spain - Portal de dades obertes Sant Feliu de Llobregat;Espagne - Portal de dades obertes Sant Feliu de Llobregat;spain;;;Local Government;Public Sector, Local Level;;;;;España - Portal de dades obertes Sant Feliu de Llobregat
Datos abiertos Montilla;Ayuntamiento de Montilla;Spain;Espagne;http://www.montilla.es/contenido/datos-abiertos;;37.58963,-4.638313;37.58963;-4.638313;Spain - Datos abiertos Montilla;Espagne - Datos abiertos Montilla;spain;;;Local Government;Public Sector, Local Level;;;;;España - Datos abiertos Montilla
Datos abiertos Amposta;Ayuntamiento de Amposta;Spain;Espagne;https://seu-e.cat/es/web/amposta/dades-obertes;Sector Público;40.71231,0.579972;40.71231;0.579972;Spain - Datos abiertos Amposta;Espagne - Datos abiertos Amposta;spain;;;Local Government;Public Sector, Local Level;;;;;España - Datos abiertos Amposta
Ayuntamiento de Montoro - Datos Abiertos;Ayuntamiento de Montoro;Spain;Espagne;http://www.montoro.es/contenido/datos-abiertos;;38.02623,-4.381657;38.02623;-4.381657;Spain - Ayuntamiento de Montoro - Datos Abiertos;Espagne - Ayuntamiento de Montoro - Datos Abiertos;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Montoro - Datos Abiertos
Ayuntamiento de Casillas de Coria - Open Data;Ayuntamiento de Casillas de Coria;Spain;Espagne;http://www.casillasdecoria.es/open-data;;39.966149,-6.637111;39.966149;-6.637111;Spain - Ayuntamiento de Casillas de Coria - Open Data;Espagne - Ayuntamiento de Casillas de Coria - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Casillas de Coria - Open Data
Ayuntamiento de Hernán-Pérez - Open Data;Ayuntamiento de Hernán-Pérez;Spain;Espagne;http://www.hernanperez.es/open-data;;40.212066,-6.464303;40.212066;-6.464303;Spain - Ayuntamiento de Hernán-Pérez - Open Data;Espagne - Ayuntamiento de Hernán-Pérez - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Hernán-Pérez - Open Data
Ayuntamiento de Piornal - Open Data;Ayuntamiento de Piornal;Spain;Espagne;http://www.piornal.es/open-data;;40.116267,-5.846908;40.116267;-5.846908;Spain - Ayuntamiento de Piornal - Open Data;Espagne - Ayuntamiento de Piornal - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Piornal - Open Data
Ayuntamiento de Garganta la Olla - Open Data;Ayuntamiento de Garganta la Olla;Spain;Espagne;http://www.gargantalaolla.es/open-data;;40.110832,-5.776125;40.110832;-5.776125;Spain - Ayuntamiento de Garganta la Olla - Open Data;Espagne - Ayuntamiento de Garganta la Olla - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Garganta la Olla - Open Data
Ayuntamiento de Robledillo de la Vera - Open Data;Ayuntamiento de Robledillo de la Vera;Spain;Espagne;http://www.robledillodelavera.es/open-data;;40.100526,-5.588949;40.100526;-5.588949;Spain - Ayuntamiento de Robledillo de la Vera - Open Data;Espagne - Ayuntamiento de Robledillo de la Vera - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Robledillo de la Vera - Open Data
Ayuntamiento de Viandar de la Vera - Open Data;Ayuntamiento de Viandar de la Vera;Spain;Espagne;http://www.viandardelavera.es/open-data;;40.121975,-5.534498;40.121975;-5.534498;Spain - Ayuntamiento de Viandar de la Vera - Open Data;Espagne - Ayuntamiento de Viandar de la Vera - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Viandar de la Vera - Open Data
African Development Bank Group Open Data;Angola;Angola;Angola;http://angola.opendataforafrica.org;;-8.8333,13.3333;-8.8333;13.3333;Angola - African Development Bank Group Open Data;Angola - African Development Bank Group Open Data;angola;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Angola - African Development Bank Group Open Data
African Development Bank Group Open Data;Ethiopia;Ethiopia;Ethiopie;http://ethiopia.opendataforafrica.org;;9.0373003,31.4545637;9.0373003;31.4545637;Ethiopia - African Development Bank Group Open Data;Ethiopie - African Development Bank Group Open Data;ethiopia;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Etiopía - African Development Bank Group Open Data
African Development Bank Group Open Data;Guinea;Guinea;Guinée;http://guinea.opendataforafrica.org;;9.5167,-13.7;01/09/5167;-13.7;Guinea - African Development Bank Group Open Data;Guinée - African Development Bank Group Open Data;guinea;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Guinea - African Development Bank Group Open Data
African Development Bank Group Open Data;Seychelles;Seychelles;Seychelles;http://seychelles.opendataforafrica.org;;-4.6167,55.45;-4.6167;55.45;Seychelles - African Development Bank Group Open Data;Seychelles - African Development Bank Group Open Data;seychelles;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Seychelles - African Development Bank Group Open Data
African Development Bank Group Open Data;Swaziland;Swaziland;Swaziland;http://swaziland.opendataforafrica.org;;-26.3167,31.1333;-26.3167;31.1333;Swaziland - African Development Bank Group Open Data;Swaziland - African Development Bank Group Open Data;swaziland;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Swazilandia - African Development Bank Group Open Data
African Development Bank Group Open Data;Zambia;Zambia;Zambie;http://zambia.opendataforafrica.org;;-15.4167,28.2833;-15.4167;28.2833;Zambia - African Development Bank Group Open Data;Zambie - African Development Bank Group Open Data;zambia;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Zambia - African Development Bank Group Open Data
Ambar;UTPL;Ecuador;Equateur;http://ambar.utpl.edu.ec;Smart Land;-4.0075944,-79.2433985;-4.0075944;-79.2433985;Ecuador - Ambar;Equateur - Ambar;ecuador;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Ecuador - Ambar
Amsterdam OIS;Gemeente Amsterdam;Netherlands;Pays-Bas;http://www.ois.amsterdam.nl;The Department for Research and Statistics of the City of Amsterdam, Netherlands.;52.3740272046,4.88968849182;52.3740272;4.889688492;Netherlands - Amsterdam OIS;Pays-Bas - Amsterdam OIS;netherlands;;;Local Government;Public Sector, Local Level;;;;;Países Bajos - Amsterdam OIS
Bahrain Open Data;Bahrain;Bahrain;Bahreïn;http://bahrain.bh/wps/portal/data;;26.0275,50.55;26.0275;50.55;Bahrain - Bahrain Open Data;Bahreïn - Bahrain Open Data;bahrain;;;Statistics;Public Sector, National Level;;;;;Bahrein - Bahrain Open Data
British Columbia Property Tax;Canada;Canada;Canada;http://evaluebc.bcassessment.ca;;54.0,-125.0;54;-125;Canada - British Columbia Property Tax;Canada - British Columbia Property Tax;canada;;;Administration,Economy;Public Sector, National Level;;;;;Canadá - British Columbia Property Tax
Colmar Agglomération Geo;Colmar Agglomération;France;France;https://www.agglo-colmar.fr/geo;;48.081000246,7.35393743896;48.08100025;7.353937439;France - Colmar Agglomération Geo;France - Colmar Agglomération Geo;france;;;Local Government,Geospatial;Public Sector, Local Level;;;;;Francia - Colmar Agglomération Geo
Colorado Open Data;United States;United States;Etats-Unis;http://data.colorado.gov;;39.7391,-104.9849;39.7391;-104.9849;United States - Colorado Open Data;Etats-Unis - Colorado Open Data;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Colorado Open Data
Connecticut Data Collaborative;United States;United States;Etats-Unis;http://ctdata.org;;41.6,-72.7;41.6;-72.7;United States - Connecticut Data Collaborative;Etats-Unis - Connecticut Data Collaborative;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Connecticut Data Collaborative
Conneticut Transparency Website;The Office Of Fiscal Analysis (ofa);United States;Etats-Unis;http://transparency.ct.gov/html/main.asp;"This site was created in accordance with Public Act 10-155, An Act Requiring the Establishment of a Searchable Database for State Expenditures. This Public Act requires the Office of Fiscal Analysis to establish and maintain a website for the purpose of posting state agency expenditures, including contracts and grants.

The Office of Fiscal Analysis (OFA) is a nonpartisan office that supports the Connecticut General Assembly. To read more about us, please visit our website at <http://www.cga.ct.gov/ofa/>.";41.5184517,-73.3179335;41.5184517;-73.3179335;United States - Conneticut Transparency Website;Etats-Unis - Conneticut Transparency Website;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Conneticut Transparency Website
Conseil Départemental du Gers Opendata;Conseil Départemental du Gers;France;France;http://data.gers.fr;;43.646735,0.612722;43647;613;France - Conseil Départemental du Gers Opendata;France - Conseil Départemental du Gers Opendata;france;;;Local Government;Public Sector, Local Level;;;;;Francia - Conseil Départemental du Gers Opendata
Consumer Financial Protection Bureau;Consumer Financial Protection Bureau;United States;Etats-Unis;http://www.consumerfinance.gov/complaintdatabase;;36.2400954,-113.7631045;36.2400954;-113.7631045;United States - Consumer Financial Protection Bureau;Etats-Unis - Consumer Financial Protection Bureau;united-states;;;Economy,Administration;Public Sector, Local Level;;;;;Estados Unidos de América - Consumer Financial Protection Bureau
Countyof Santa Clara;Countyof Santa Clara;United States;Etats-Unis;http://prod.sccgov.opendata.arcgis.com;Arcgis OpenData Portal;37.3498541455,-121.943495312;37.34985415;-121.9434953;United States - Countyof Santa Clara;Etats-Unis - Countyof Santa Clara;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Countyof Santa Clara
Cuyahoga County GIS;Cuyahoga County DoIT;United States;Etats-Unis;http://data-cuyahoga.opendata.arcgis.com;Boundaries, Transportation, Property and Use, Environmental, Legal, Addresses, Public Works, All Data;41.4995015,-81.6865051;41.4995015;-81.6865051;United States - Cuyahoga County GIS;Etats-Unis - Cuyahoga County GIS;united-states;;;Local Government,Geospatial;Public Sector, Local Level;;;;;Estados Unidos de América - Cuyahoga County GIS
Dalian Municipal Government Information Service;China;China;Chine;http://zwgk.dl.gov.cn;;38.9208,121.6392;38.9208;121.6392;China - Dalian Municipal Government Information Service;Chine - Dalian Municipal Government Information Service;china;;;Local Government;Public Sector, Local Level;;;;;China - Dalian Municipal Government Information Service
Datos Publicos;garagelab.tumblr.com/;Argentina;Argentine;http://datospublicos.org;;-34.6156625,-58.5033601;-34.6156625;-58.5033601;Argentina - Datos Publicos;Argentine - Datos Publicos;argentina;;;Statistics;Others (Associations, Universities);;;;;Argentina - Datos Publicos
Delaware County Indiana Open Data-Copy;Delaware County Indiana Open Data-Copy;United States;Etats-Unis;http://getdata-1.delcogis.opendata.arcgis.com;Arcgis OpenData Portal;40.2335465813,-85.4257353022;40.23354658;-85.4257353;United States - Delaware County Indiana Open Data-Copy;Etats-Unis - Delaware County Indiana Open Data-Copy;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Delaware County Indiana Open Data-Copy
Department Of Education;Philippines;Philippines;Philippines;http://deped.gov.ph;;13.0,122.0;13;122;Philippines - Department Of Education;Philippines - Department Of Education;philippines;;;Statistics;Public Sector, National Level;;;;;Filipinas - Department Of Education
Dirrecão Nacional Meteorologia E Geofisica;Timor-leste;East Timor;Timor Oriental;http://dnmg.gov.tl;;-8.5667,125.5667;-8.5667;125.5667;East Timor - Dirrecão Nacional Meteorologia E Geofisica;Timor Oriental - Dirrecão Nacional Meteorologia E Geofisica;east-timor;;;Weather Forecast;Public Sector, National Level;;;;;Timor Oriental - Dirrecão Nacional Meteorologia E Geofisica
Division Of Finance;United States;United States;Etats-Unis;http://doa.alaska.gov/dof;;58.3,-134.41667;58.3;-134.41667;United States - Division Of Finance;Etats-Unis - Division Of Finance;united-states;;;Economy;Public Sector, Local Level;;;;;Estados Unidos de América - Division Of Finance
